Point_X,Point_Y,Tree_Name,Tree_Id,Genus,Species,Common_Name,Diameter,Tree__Height,ZONE_GEN,PageName,Status
-78.92094898,36.0249562,M19-QUPH-001,2248527,Quercus,phellos,Willow oak,18,40-60,RES_MEDIUM_DENSITY,M19,done
-78.9112439,36.0254567,M20-QUPH-001,2942827,Quercus,phellos,Willow oak,2,0-20,RES_HIGH_DENSITY,M20,done
-78.91084479,36.02545641,M20-QUPH-002,2942828,Quercus,phellos,Willow oak,2,0-20,RES_HIGH_DENSITY,M20,done
-78.91059883,36.02546477,M20-QUPH-003,2942829,Quercus,phellos,Willow oak,2,0-20,RES_HIGH_DENSITY,M20,replace
-78.91020477,36.02545828,M20-QUPH-004,2942830,Quercus,phellos,Willow oak,2,0-20,RES_HIGH_DENSITY,M20,done
-78.90180415,36.02384493,M21-QUPH-001,2248605,Quercus,phellos,Willow oak,22,40-60,RES_MEDIUM_DENSITY,M21,done
-78.90166968,36.0237643,M21-QUPH-002,2250335,Quercus,phellos,Willow oak,31,40-60,RES_MEDIUM_DENSITY,M21,done
-78.925623,36.01736811,N18-QUPH-001,2248740,Quercus,phellos,Willow oak,15,20-40,RES_MEDIUM_DENSITY,N18,done
-78.9257504,36.01737678,N18-QUPH-002,2248804,Quercus,phellos,Willow oak,17,20-40,RES_MEDIUM_DENSITY,N18,done
-78.93224001,36.01775536,N18-QUPH-003,2248966,Quercus,phellos,Willow oak,30,60-80,RES_MEDIUM_DENSITY,N18,done
-78.92636731,36.0175319,N18-QUPH-004,2249075,Quercus,phellos,Willow oak,26,40-60,RES_MEDIUM_DENSITY,N18,done
-78.93072322,36.01770003,N18-QUPH-005,2249250,Quercus,phellos,Willow oak,37,80+,RES_MEDIUM_DENSITY,N18,done
-78.93097669,36.01770329,N18-QUPH-006,2249252,Quercus,phellos,Willow oak,37,60-80,RES_MEDIUM_DENSITY,N18,done
-78.92498732,36.01734424,N18-QUPH-007,2249386,Quercus,phellos,Willow oak,31,40-60,RES_MEDIUM_DENSITY,N18,done
-78.92867938,36.01748634,N18-QUPH-008,2249411,Quercus,phellos,Willow oak,31,80+,RES_MEDIUM_DENSITY,N18,done
-78.93591195,36.01775644,N18-QUPH-009,2249427,Quercus,phellos,Willow oak,31,60-80,RES_MEDIUM_DENSITY,N18,done
-78.93123552,36.01771522,N18-QUPH-010,2249564,Quercus,phellos,Willow oak,36,60-80,RES_MEDIUM_DENSITY,N18,done
-78.92717198,36.01755576,N18-QUPH-011,2249779,Quercus,phellos,Willow oak,34,60-80,RES_MEDIUM_DENSITY,N18,done
-78.93164676,36.0175972,N18-QUPH-012,2250001,Quercus,phellos,Willow oak,25,40-60,RES_MEDIUM_DENSITY,N18,done
-78.9255023,36.01749177,N18-QUPH-013,2304090,Quercus,phellos,Willow oak,7,0-20,RES_MEDIUM_DENSITY,N18,done
-78.92501706,36.01747184,N18-QUPH-014,2829408,Quercus,phellos,Willow oak,7,0-20,RES_MEDIUM_DENSITY,N18,done
-78.92192692,36.017226,N19-QUPH-001,2248554,Quercus,phellos,Willow oak,22,40-60,RES_MEDIUM_DENSITY,N19,done
